GEOID,NAME,Percent_Tot,Percent_To,Percent_1,Percent_2,Percent_3,Percent_4
0,West Virginia,313086,29.3,13.6,17.3,19.2,20.6
1,Florida,5518418,32.2,11.1,24.7,11.8,20.3
2,Illinois,3275418,33.7,10.3,21.3,11.7,23.1
3,Minnesota,1533711,34.3,10.3,20,12.3,23.1
4,Maryland,1878705,41.9,8.8,18.3,8.8,22.2
5,Rhode Island,308412,34.9,10.5,17.2,10.3,27.2
6,Idaho,413168,32.6,12.3,18.8,14.4,21.9
7,New Hampshire,423270,37.7,9.1,18.7,10.9,23.7
8,North Carolina,2647999,34.4,10.1,20.8,11.3,23.4
9,Vermont,206839,39.1,8.8,11.4,10.3,30.4
10,Connecticut,1066404,36.8,8.9,19.7,9.7,24.9
11,Delaware,264384,36.3,10.3,21.5,12.8,19.1
12,New Mexico,442597,37.2,9.4,16.3,13.1,24.1
13,California,9935941,42.4,8.5,17.7,5.8,25.5
14,New Jersey,2821608,37.5,8.9,21.5,10.1,21.9
15,Wisconsin,1358421,32.8,11.5,19.5,14.5,21.7
16,Oregon,1106239,40.1,8.9,15,9.1,27
17,Nebraska,450517,28.6,11.5,21.8,16.8,21.2
18,Pennsylvania,3209693,34.2,11.2,19.6,13.2,21.8
19,Washington,2159683,43.8,8.5,15.9,8.9,22.9
20,Louisiana,840106,29.6,13,19.5,14.9,23
21,Georgia,2544114,33.9,9.5,23.5,11.3,21.9
22,Alabama,1000791,30.4,10.9,22.9,15.6,20.2
23,Utah,775049,33.7,10.2,19.2,12.1,24.8
24,Ohio,2600379,31.7,12,20.8,14.5,21
25,Texas,6651408,36.2,9.4,22.9,10.9,20.7
26,Colorado,1875132,41.5,8.1,18.8,8,23.7
27,South Carolina,1194503,31.3,10.4,22.8,13.6,22
28,Oklahoma,758917,28.4,10.4,22.6,16.5,22.1
29,Tennessee,1513960,30.4,10.7,23.3,12.7,22.9
30,Wyoming,118166,35.6,9.7,14.2,19.6,20.9
31,Hawaii,362704,37.3,10.3,19.5,10.8,22
32,North Dakota,163841,29,14.9,19.1,17.8,19.2
33,Kentucky,861336,29.9,11.7,19.7,14.4,24.2
34,Maine,371558,34.6,10.4,13.5,12.9,28.6
35,New York,5556561,35.1,9.2,18.6,10.1,26.9
36,Nevada,601212,33.5,9.9,23.4,11,22.2
37,Alaska,149646,39.2,9.8,14.6,12.8,23.5
38,Michigan,2241852,34,11.3,21.1,12.5,21.1
39,Arkansas,522807,29.5,12.2,20.7,16.7,20.9
40,Mississippi,486186,27.6,12.4,21.7,18.7,19.6
41,Missouri,1364017,30.2,11.5,21.1,14.8,22.4
42,Montana,271742,35.7,11.4,16.6,14.2,22
43,Kansas,692543,30.5,10.4,21.5,15.7,21.9
44,Indiana,1357012,30.2,13.1,20.1,14.9,21.7
45,Puerto Rico,717719,26.7,12.9,28.8,17,14.6
46,South Dakota,191317,31,14.5,17.5,19.6,17.5
47,Massachusetts,2307709,41,8.4,17.5,8.5,24.7
48,Virginia,2522034,40.5,8,18.7,9.2,23.6
49,District of Columbia,313274,49.6,4.9,12.8,3.3,29.3
50,Iowa,697806,29.7,10.3,20.7,17.6,21.7
51,Arizona,1666139,34.2,10.2,21.9,12,21.6
